name,abstract,title
Hidenori Matsui,"We investigate the gas supply process from the several  kpc scale to the central  pc scale in a barred galaxy. For this purpose, we have performed high resolution simulations of gas in a barred galaxy potential by using the simulation code ""ASURA"". Here, we include a wide temperature range of radiative cooling, star formation in dense and cold gas, and gas heating by supernovae. We have found that a gas ring forms within the central 1 kpc region. Since the gas density in the ring is high enough, formation of gas clouds takes place. Some formed clouds deviate from the ring due to cloud-cloud interactions, since these clouds collide with the other clouds which still rotate in the ring and these collisions reduce a large part of their orbital angular momentum. As a result, a few clouds finally fall into the galactic center of 10 pc scale. The process contributes to the episodic  gas supply to the galactic center. We discuss condition of such gas supply and a possible role in mass growth of a supermassive black hole in a galactic center. ",Episodic gas supply to a galactic center  due to  interactions of gas clouds in a gas ring formed in a barred galaxy
Iris Breda,"A tantalizing enigma in extragalactic astronomy concerns the chronology and driving mechanisms of the build-up of late-type galaxies (LTGs). The standard scenario envisages two formation routes, with classical bulges (CBs) assembling first in a quick quasi-monolithic episode followed by gradual disk assembly, and pseudo-bulges (PBs) forming over the Gyr-long secular evolution of LTGs. The expectation is, therefore, the segregation of present-day LTG bulges into two distinct groups. Here we analyse the star formation histories (SFHs) of bulges and disks for 135 LTGs from the CALIFA survey covering the relevant range in LTG mass. In addition, their physical properties were contrasted with predictions from evolutionary synthesis models, adopting exponentially declining SFHs, with an e-folding time 0.1 < τ < 20 Gyr. Analysis of the SFHs of ~ half-million spaxels consistently reveals that the main properties of bulges and disks show a continuous distribution across total stellar mass. Moreover, the τ in high-mass LTGs radially increases, suggesting that these grow in an inside-out fashion, while lower-mass LTGs display roughly the same τ throughout their entire radial extent. Evolutionary synthesis predictions are consistent with observations. Finally, bulges and disks of higher mass LTGs exhibit shorter formation timescales as compared to their lower mass counterparts. Collectively, the obtained results evince a coherent and unified picture for the formation and evolution of LTGs, in which PBs and CBs denote extremities of a continuous sequence. This analysis is consistent with the framework where bulges are assembled with their parent disks by gradual inside-out growth, at a pace that is regulated by the depth of the galactic potential. In accordance is the utter absence of bimodal correlations, as expected if CBs and PBs were to emerge from two distinct formation routes.",On the genesis of spiral galaxies - Classical and pseudo bulges as extremities of a continuous sequence
Rachel Lee McClure,"Up to two thirds of disk galaxies in the local universe host a bar — structures that transport gas and angular momentum throughout their host galaxies. The orbital composition of the stars of the bar and associated features in such galaxies is not well constrained, especially the ubiquitous X feature associated with bars in disk galaxies. These X structures are seen in at least half of edge-on disk galaxies and can account for ~40% of the stellar disk mass. In this work we describe the novel origins of the transient and persistent resonant families that populate the X feature building on existing literature investigations. Our separation and tracking of individual stellar orbits in high resolution N-body simulations of barred galaxies allows us to identify the mechanisms populating the X feature and to better understand bars through cosmological time. ",Formation of the Galactic X-Feature through Bar Resonance Interactions
Rachel McClure,"Up to two thirds of disk galaxies in the local universe host a bar — structures that transport gas and angular momentum throughout their host galaxies. The orbital composition ad origin of the stars of the bar and associated features in such galaxies is not well constrained, especially the ubiquitous X feature associated with bars in disk galaxies. These X structures are seen in at least half of edge-on disk galaxies and can account for up to ~40% of the stellar disk mass. Here, we present results of our study of high resolution N-body simulations of barred galaxies in which we trace the origin of stars that populate the X or boxy/peanut structure associated with the bar through resonance passage and dynamical bar evolution. Our separation and tracking of individual stellar orbits that form the X feature allow us to identify the formation and evolution of the X feature and better understand bars through cosmological time.",An Orbital Exploration of Boxy/Peanut X-feature in Galactic Bars 
Sandeep Kumar Kataria,"In this work, we conduct a statistical study of black hole masses of barred and unbarred galaxies in IllustrisTNG-100 cosmological simulation suites. This work aims to understand the role of the bars in the growth of black hole masses. We have looked into 1191 barred galaxies and 2738 unbarred galaxies samples. We use an equal number of barred and unbarred galaxies with a similar distribution of various controlling parameters like total galaxy mass, halo mass and gas mass etc. for an unbiased study. The median peak value of black hole masses distribution for barred galaxies is higher than that of the unbarred one.  The higher mean accretion rate on the black hole averaged over large redshifts (approx. z~2 to 0) supports the higher mean black hole masses in barred galaxies. Further, we also test that these results are unaffected by other surrounding environmental processes like the neighboring gas density of hosts and merger histories which includes both minor and major mergers. Our results have potential implications for triggering AGN activities highly debated but not yet clear in previous numerical and observational studies. Further, we provide constraints on black hole statistics to be observed for 3 sigma detection of our results. ",Black Hole Mass dichotomy in Barred and Unbarred galaxies of IllstrisTNG-100 simulations
Sioree Ansar (1),"Dark matter (DM) halo properties are extensively studied in cosmological simulations but are very challenging to estimate from observations. The dark matter halo density profile of observed galaxies is modelled using multiple probes that trace the dark matter potential. However, the angular momentum distribution of the dark matter halos is still a subject of debate. In this study we demonstrate a method for estimating the halo spin and halo concentration of a low surface brightness (LSB), gas rich dwarf barred galaxy UGC 5288 by forward modelling disk properties- stellar and gas surface densities, disk scale length, HI rotation curve, bar length and bar ellipticity derived from observations. We combine semi analytical techniques, N-body/SPH and cosmological simulations to model the dark matter halo of UGC 5288 with both a cuspy Hernquist profile and a flat-core pseudo-isothermal profile. We find that the best match with observations is a pseudo-isothermal halo model with core radius rc = 0.23 kpc, a high halo spin λ= 0.08 at the virial radius. Our findings are consistent with previous core radius estimates of the halo density profile of UGC 5288, as well as the theoretically predicted high spins of dwarf LSB galaxies. We show that our model of halo spin distribution matches with that of similar mass analogues of UGC 5288 galaxies in the high resolution cosmological magneto-hydrodynamical simulation TNG-50. Additionally, we find that the inner halo spin in barred galaxies is different from the unbarred ones, and the halo spin shows weak correlations with bar properties.","Dark Matter halo spin of the dwarf galaxy UGC 5288: Insights from Observations, N-body and Cosmological Simulations."
Sioree Ansar (2),"Despite decades of research, the mechanism of bar formation in galaxies is still a subject of debate. From isolated galaxy simulations we have gained valuable insight to how bars form and evolve. However, bars in the Universe evolve in galaxies in highly complex environments with multiple satellite interactions, mergers, gas accretion events, star-formation and gas in-fall to the central supermassive blackhole (SMBH), while simultaneously interacting with their dark matter halo. Investigating bar formation and reproducing their observed properties in cosmological simulations is important for understanding galaxy formation, as well as understanding the formation of galactic bars. We study 13 high resolution MW-mass galaxies from the zoomed-in cosmo-hydro simulation FIRE2 (Feedback in Realistic Environments) to first ask: Do the FIRE galaxies have bars? If so, how do bars form and when does bar formation fail? We find examples where bars form due to satellite interactions and others where bars form secularly in the disk. Using predictions from isolated galaxy simulations for varied dark matter and stellar distributions at the galaxy centre, we explain the morphological differences between the bars in FIRE2 and TNG50 and connect them to differences in the physics implementations of the two codes. We find that the stellar feedback prescription in FIRE2, which affects starburst and gas dynamics, and the lack of blackhole feedback to mitigate the gas in the galaxy center, together make the disk kinematically hot, such that bars are shorter than the MW-bar, rotate faster, and are mostly short-lived. We hypothesize that the FIRE3 simulations will address some of the issues with improved stellar feedback and AGN, such that bars are more close to that in observations.",Bar formation and destruction in the FIRE2 simulations.
Virginia Cuomo (1),"The buckling instability of the bar explains the formation of boxy/peanut (B/P) bulges. During a buckling event, the bar bends, so the symmetry in the density distribution with respect to the mid-plane is broken. We use simulations to show that, when the buckling instability is strong, a residual mid-plane asymmetry persists and we develop a diagnostic test to quantify it in nearly edge-on galaxies. We apply our diagnostic to a small sample of galaxies from the Spitzer Survey of Stellar Structure in Galaxies to show that it can be successfully applied to real galaxies. We find no evidence of mid-plane asymmetry clearly associated to a past buckling event. We conclude that the formation of B/P bulges through strong buckling may be a rare event. We suggest our diagnostic can be applied to the Milky Way to explore the formation scenario of the B/P bulge hosted in our Galaxy.",Evidence of a Buckling Event in Nearly Edge-On Galaxies: Simulations and Observations 
Virginia Cuomo (2),"Stellar bars play a crucial role in driving the secular evolution of their host galaxies. Indeed, they rotate around the galaxy centre with a given angular frequency, the bar pattern speed, sweeping material within the central regions of the galaxy and driving strong structural modifications. In the standard LCDM model, bars are expected to slow down by efficiently exchanging angular momentum with the other galaxy components and/or through dynamical friction exerted by the dark matter halo. The only direct method to derive the bar pattern speed, the Tremaine-Weinberg method, revealed that real bars rotate fast, stressing a tension between the observations, conducted to date in the local universe, and the LCDM model. Measuring the bar pattern speed by applying the Tremaine-Weinberg method to bars up to z~1-2 will reveal if the expected bar evolutionary path is actually taking place and/or to confirm if the dark matter is able to exert an efficient friction. Using high resolution N-body simulations we tested and confirmed the applicability of the Tremaine-Weinberg method to deep spectroscopy of the NIRSpec IFU mounted to the JWST for a sample of bars at z~1-2 recently revealed with the CEERS NIRCam. Here we present the result of our preliminary analysis, which will be used to prepare an observational proposal to get dedicated NIRSpec@JWST in the next call.",Bar pattern speeds at z~1-2 to explore challenges of the standard cosmology
Abdurrahman Naufal,"In the local Universe, we observe that environment has an important role in affecting the structure and morphology of galaxies, as well as their physical properties. In the densest environments such as galaxy clusters, galaxies are predominantly quiescent ellipticals, while in less dense environments star-forming disk galaxies are more prevalent. How and when environment starts to play such role is an important question in galaxy evolution. Protoclusters—overdense regions at high redshift thought to be the progenitors of today’s galaxy clusters—are unique laboratories to investigate how environment affects the properties of galaxies in the earlier stages of their evolution. With the increasing number of protoclusters surveyed, we aim to characterize the structure and morphology of galaxies in protoclusters to investigate their environmental dependence. We compile catalogs of four protoclusters at z ∼ 2 (PKS 1138-262, USS 1558-003, PHz G237.0+42.5, and CC 2.2) consisting of 331 Hα-emitting star-forming galaxies (HAE) and characterize their size and apparent morphologies observed by the Hubble Space Telescope Advanced Camera Surveys (HST/ACS) in the F814W filter. We compare the structures of 138 HAEs in protoclusters detected by HST/ACS to a coeval comparison field sample of 462 HAEs. We measure the size by Sérsic profile fitting as well as the morphologies by non-parametric methods. We find the size distributions of protocluster and field HAEs at are similar with typical half-light radius of ∼ 2.5 kpc. At fixed stellar mass, there is no significant difference between HAE in protocluster and in field. Stacking analyses also show similar results. This result suggests that the environment does not significantly affect the size of galaxies during the star-forming phase. Based on Sérsic index and non-parametric morphologies, HAE morphologies at z~2 in rest-frame UV are consistent with disk-like star-forming galaxies, although we also find ∼20% HAEs have peculiar morphologies. We find that rotocluster HAEs are slightly more concentrated than field HAEs, especially in the highly star-forming subsamples. If we interpret peculiar morphologies as merger candidates according on Gini-M20 merger statistics, we estimate the merger fraction in protoclusters is 38 ± 7% protocluster and 26 ± 3% field. We also find that there is twice more peculiar galaxies above star-forming main sequence than below it, suggesting the correlation between starbursts and peculiar morphologies, which may be caused by the presence giant star-forming clumps or merger signatures.",Environmental effects on the morphology of star-forming galaxies at z ∼ 2
Andras Peter Joo,"IllustrisTNG is a suite of large volume, cosmological, gravo-magneto-hydrodynamical simulations including a comprehensive model for galaxy formation. Each TNG simulation self-consistently solves for the coupled evolution of dark matter, cosmic gas, luminous stars, and supermassive blackholes from redshift z=127 to 0 and generates 100 resulting snapshots from z=20 to 0. We used the TNG100 run for analysis, which has the size of 110.7^3 Mpc^3 and contains more than 10 billion resolution elements. Our goal is to create a sample of galaxies in TNG that are possible hosts for long gamma ray bursts (LGRBs). LGRBs are violent core-collapse events of massive stars that indicate intense star formation and can be detected at cosmic distances. Therefore, comparing the galaxy properties of this LGRB host sample with the whole population could highlight specialities of star forming galaxies at high redshifts. Our approach is to find mergers where one progenitor has low metallicity and the descendant galaxy has large star formation rate (SFR). We are analysing this sample statistically for every snapshot to be able to compare with observational LGRB host samples and refine our model. We processed the catalogue data and merger trees for all snapshots of the TNG100 run and gathered all the subhalo properties found by the subfind algorithm with non-zero metallicity that took part in a merger event. We filtered the events so, that one of the progenitors has low metallicity, that is, lower than the mass-weighted average metallicity at z=2, and the descendant galaxy has higher SFR than the average at the given redshift. We then gathered all properties of the filtered progenitor galaxies and the descendant galaxies of the mergers. Here we showcase a few of our statistical analysis of the galaxy properties in our sample.",Investigating galaxy mergers in the IllustrisTNG universe simulation
Avishai Dekel,"I will present a theoretical discussion of disk formation and survival above a threshold mass at high redshift, ring formation, and the formation and survival of giant clumps in high-z disks.",Formation and evolution of disks at high redshifts
Benedetta Vulcani,"What physical processes regulate star formation and morphology in dense environments? Understanding why galaxy evolution is environment dependent is one of the key questions of current astrophysics. The advent of JWST has opened many new pathways to answer these questions, opening an unprecedented view on the NIR wavelengths. Exploiting the deep observations taken in the context of the GLASS-JWST-ERS program (PI Treu) that targeted the massive cluster A2744 at z=0.3 — a key epoch as clusters are in a fast mass-growing phase —, I will show how galaxies are influenced by the cluster environment. Using NIRCAM data that observed galaxies at different clustercentric distances, I will show how their morphology and star forming properties depend on their position within the cluster and their local environment. I will also briefly discuss the morphology and  the spatially resolved Paschen beta properties of ram pressure stripped galaxies and therefore characterise star formation typically hidden at optical wavelengths and quantify the presence of dust, exploiting NIRISS data. These first results will showcase the potentiality of JWST in understanding galaxy evolution in massive systems.",Galaxy morphologies and star formation rates in cluster galaxies as seen by JWST
Benjamin Metha,"Star forming galaxies in the local universe take the shapes of grand-design spirals, with a larger fraction of metals in their centre than on their outskirts, often modelled by a linear gradient. On the other hand, star forming galaxies at cosmic noon are more irregular, with large, kpc-scale metal rich clumps. The linear gradient models that describe the local universe cannot be applied to these distant galaxies. In this talk, I demonstrate the potential of geostatistical modelling to improve our understanding of the chemical substructures of galaxies at both low- and high-redshift (z ~ 3). By fitting a hierarchical model to JWST-GLASS data, I investigate how the spatial extent of metal-rich clumps evolves throughout cosmic time. This enables an understanding on the spread of metals throughout galaxies on sub-kpc scales, testing subgrid models of metal mixing and ultimately improving our understanding of galaxy evolution.",Connecting small-scale metallicity fluctuations of local galaxies with galaxies at cosmic noon observed by JWST
Bora Kamal,"The application of Machine Learning and Deep Learning in Astronomy has grown tremendously in recent times. One of the popular applications is to use the Convolutional Neural Network(CNN) to find the gravitational lenses in astronomical images. Gravitational Lensing has a plethora of applications in Astrophysics and Cosmology e.g., studying distribution of dark matter in galaxies and galaxy clusters, searching high redshift objects using their magnification etc. So far, a very few lenses have been found. In order to get the pure lens candidates, we need to minimize the false positives in our sample. So, the first step is to search for the massive potential deflectors. I demonstrate how a machine learning algorithm can improve upon traditional color cuts method for massive galaxy selection.",Selection of massive galaxies in VISTA survey using Machine Learning.
Chloe Cheng,"Crucial insights into the chemical enrichment, assembly, and star formation histories of disc galaxies can be gained by examining the fossil records encoded in their descendants across cosmic time.  Thus, in order for us to truly comprehend these late-type galaxies and how they evolve, quiescent, early-type galaxies (ETGs) at high redshifts must first be fully characterized.  Previously, we measured integrated chemical abundance patterns in a large sample of massive ETGs at 0.6 ≤ z ≤ 0.75 from the LEGA-C survey.  These results have revealed fascinating conclusions about chemical enrichment regulation, star formation timescales, and galaxy quenching.  However, galaxies’ detailed star formation and assembly histories are imprinted in the spatial distributions of their chemical abundances.  In this work, we measure spatially-resolved stellar population parameters in the LEGA-C ETGs by employing full-spectrum stellar population synthesis models over different apertures.  These models simultaneously fit for ages, metallicities, and detailed chemical abundances.  We discuss our findings concerning stellar population gradients and their implications for galaxy evolution.  In the near future, these methods will be applied to our approved Cycle 1 JWST/NIRSpec program, extending this analysis to higher redshifts (1.0 < z < 2.5) and encompassing star-forming and quiescent galaxies.  This will provide a deeper understanding of the formation histories of early-type galaxies and their late-type progenitors alike over ~5 Gyr of cosmic time.",Resolving the formation histories of 0.6 < z < 2.5 galaxies with LEGA-C and JWST
Chris Hayward,"It is broadly agreed that stellar feedback-driven outflows are a critical physical process in galaxy formation, but a complete understanding has not yet been achieved. In particular, models vary widely in terms of outflow properties. I will present predictions for how outflows depend on galaxy properties, and thus redshift, yielded by simulations from the Feedback in Realistic Environments (FIRE) project. I will interpret these results with the aid of analytic toy models. I will then discuss implications for the emergence of disk galaxies and highlight how JWST can yield insight into this key component of galaxy formation models.",Stellar feedback-driven outflows and their relation to disk formation
Dandan Xu,"The connection between halo gas acquisition through the circumgalactic medium (CGM) and galaxy star formation has long been studied. We put this interplay within the context of the galaxy environment on large scales (several hundreds of kpc), which, to a certain degree, maps out various paths for galaxy interactions. Using the IllustrisTNG-100 simulation, we show that the large-scale environment around a star-forming galaxy is responsible for triggering new episodes of star formation. Such an episodic star formation pattern is well synced with a pulsating motion of the circumgalactic gas, which, on the one hand receives angular momentum modulations from the large-scale environment, yielding in-spiralling gas to fuel the star-forming reservoir; on the other hand, is affected by the feedback activities from the galaxy centre. As a result,  a present-day star-forming galaxy may have gone through several cycles of star-forming and quiescent phases during its evolutionary history, with the circumgalactic gas carrying out a synchronized cadence of ""breathing in and out"" motions out to ∼100 kpc. ",Linking episodic star formation with the large-scale angular-momentum environment through circumgalactic medium
Daniel McPherson,"The early growth of disk galaxies was significantly impacted by galaxy scale winds. Current models of galaxy evolution propose that these outflows regulate star-formation by removing star-forming material from the galaxy disk and enrich the surrounding circumgalactic medium with higher metallicity gas. However, direct observations of outflows at redshifts corresponding to early disk growth (z>3) are extremely difficult, even with JWST, due to their faintness. I will discuss detailed imaging with Keck/KCWI of outflows in local star bursting, high [OIII] EW, low metallicity (~5-10% solar) disk galaxies, which we can use as analogues of the early universe. I have created  sub-kiloparsec resolved maps of the outflows reaching  ~10 kpc from the disk, and directly measure opening angle, covering fraction and mass loading factors. I present a new method for characterising star-formation driven outflows in edge on galaxies, which can be applied to larger surveys with JWST or in the future ELT. I also will present work making direct estimates of the metallicity of the outflow using the auroral emission lines. This represents the first ever full image of the baryon cycle, as viewed through metallicity, on a starbursting disk galaxy. We can use these observations to inform models of how the Milky Way may have grown early on, and to help interpretation of results from JWST.",Resolved Images of Outflows in Edge-On Metal-Poor Starbursts
