index,bit,flip,title
21,"The prevailing belief is that existing interior point methods for estimating the parameters of a Gaussian or binary distribution in a sparse undirected graphical model are memory-intensive and complex, making them unsuitable for problems with more than tens of nodes.","The innovative approach is to introduce two new algorithms that can solve problems with at least a thousand nodes in the Gaussian case. These algorithms, one based on block coordinate descent and the other on Nesterov's first order method, offer a better complexity estimate and are less memory-intensive than existing methods.",Model Selection Through Sparse Maximum Likelihood Estimation
22,"Sparse principal component analysis requires complex methods to maximize the variance explained by a linear combination of input variables, while constraining the number of nonzero coefficients.","A new semidefinite relaxation can be used to derive a greedy algorithm that computes a full set of good solutions for all target numbers of non zero coefficients, with a manageable complexity, and can also be used to derive conditions for global optimality of a solution.",Optimal Solutions for Sparse Principal Component Analysis
23,The classical generalization of Chebyshev inequality for random vectors is the most effective.,A new generalization of Chebyshev inequality for random vectors can be less conservative and potentially more effective than the classical one.,A New Generalization of Chebyshev Inequality for Random Vectors
24,The Internet is primarily viewed as a computer network connecting people and organizations.,"The Internet, specifically academic Web sites, can be analyzed as a social network using models like clusters, graphs, and networks, applying techniques from cluster analysis, graph theory, and social network analysis.","Clusters, Graphs, and Networks for Analysing Internet-Web-Supported
  Communication within a Virtual Community"
25,The conventional belief is that agents interacting with an unmodeled environment cannot effectively minimize long-term average cost due to the unpredictability of future observations and costs.,"The innovative approach is the use of the active LZ algorithm, which leverages ideas from universal data compression and prediction, to ensure that if there is a conditionally independent future from the past within a window of consecutive actions and observations, the average cost can converge to the optimum.",Universal Reinforcement Learning
26,"The conventional belief is that the group Lasso, a least-square regression problem with regularization by a block 1-norm, requires specific conditions for consistency and cannot adapt when these conditions are not met.","The innovative approach is to extend the consistency results to the infinite dimensional case using functional analysis and covariance operators, and propose an adaptive scheme that can obtain a consistent model estimate even when the necessary condition required for the non-adaptive scheme is not satisfied.",Consistency of the group Lasso and multiple kernel learning
27,Quantum algorithms for learning and testing juntas typically rely on the dimension of the domain the Boolean functions are defined over and require access to classical or quantum membership queries.,"Efficient quantum algorithms can be developed that do not depend on the dimension of the domain, do not require access to membership queries, and instead use classical examples and fixed quantum superpositions of such examples, requiring only a few quantum examples but possibly many classical random examples.",Quantum Algorithms for Learning and Testing Juntas
28,Molecules in chemoinformatics need to be represented and stored explicitly as vectors or fingerprints for comparison.,"Molecules can be compared directly through their 2D or 3D structures using new kernels, eliminating the need for explicit vectorization or extraction of molecular descriptors.",Virtual screening with support vector machines and structure kernels
29,Theory building is a manual process that relies on distinguishing between regularity and randomness.,"Theory building can be automated using rate-distortion theory, which optimizes the trade-off between a model's structural complexity and its predictive power, ultimately identifying a process's intrinsic organization.",Structure or Noise?
30,"The conventional approach in supervised learning is to use active learning to select points to be labelled, aiming to create a model with better performance than a model trained on randomly sampled points.","Instead of focusing on active learning, the research proposes to directly address the labelling cost. The learning goal is redefined as the minimisation of a cost function, which is a combination of the expected model performance and the total cost of the labels used. This approach allows for the development of strategies and algorithms for optimal stopping and empirical evaluation.","Cost-minimising strategies for data labelling : optimal stopping and
  active learning"
31,The Aggregating Algorithm is the optimal method for prediction with expert advice for binary outcomes.,"Defensive forecasting can not only compete with the Aggregating Algorithm but also handle the case of ""second-guessing"" experts, whose advice depends on the learner's prediction.",Defensive forecasting for optimal prediction with expert advice
32,The conventional belief is that the causal architecture of stochastic dynamical systems can only be inferred when the probability distribution of measurement sequences is known.,"The innovative approach is to extend rate distortion theory to use causal shielding, allowing for the inference of a system's causal structure even in nonideal cases with finite data, thereby avoiding over-fitting and capturing distinct scales of structural organization.","Optimal Causal Inference: Estimating Stored Information and
  Approximating Causal Architecture"
33,"The conventional belief is that universal semimeasures M converge for all random sequences, making them suitable as universal sequence predictors.","The research challenges this by demonstrating that there are universal semimeasures M which do not converge for all random sequences. However, it also introduces the concept of non-universal semimeasures, such as the incomputable measure D and the enumerable semimeasure W, which do converge on all random sequences.",On Semimeasures Predicting Martin-Loef Random Sequences
34,"Defensive forecasting traditionally operates under two varieties: continuous, which assumes Sceptic's moves depend on the forecasts in a (semi)continuous manner, and randomized, where the dependence of Sceptic's moves on the forecasts is arbitrary.","The randomized variety of defensive forecasting can be derived from the continuous variety by adjusting Sceptic's moves to make them continuous, challenging the notion that these two varieties are fundamentally distinct.",Continuous and randomized defensive forecasting: unified view
35,The minimum cost homomorphism problem (MinHom) is distinct from the constraint satisfaction problem (CSP) and requires different methods for its study and resolution.,"The MinHom problem can be effectively studied using algebraic methods similar to those used for CSPs, allowing for a comprehensive classification of its computational complexity.",A Dichotomy Theorem for General Minimum Cost Homomorphism Problem
36,Parametric estimation in the presence of high noise levels is best achieved through traditional methods like Bayesian and maximum likelihood approaches.,"The method of maximum entropy in the mean (MEM) can be used to improve parametric estimation, even when measurements are heavily corrupted by noise.",Filtering Additive Measurement Noise with Maximum Entropy in the Mean
37,"The Bayesian framework, while successful for inductive reasoning, often struggles with choosing the model class and prior, especially in complex situations.","Solomonoff's completion of the Bayesian framework provides a rigorous, unique, formal, and universal choice for the model class and the prior, solving various problems of traditional Bayesian sequence prediction and performing well even in non-computable environments.",On Universal Prediction and Bayesian Confirmation
38,Wireless users in a cognitive radio network passively adapt to the dynamic availability of spectrum opportunities and environmental disturbances.,"Wireless users can be modeled as autonomous agents that strategically interact and compete for limited spectrum opportunities, using a best response learning algorithm to improve their bidding policy and performance over time.",Learning for Dynamic Bidding in Cognitive Radio Resources
39,Building quantitative models using a large number of variables from spectrophotometer data often leads to overfitting and poor generalization abilities due to the excessive number of parameters.,"The use of mutual information measure for variable selection can prevent overfitting and improve model performance, without making any assumptions on the model used, thus enhancing the interpretability of the results.","Mutual information for the selection of relevant variables in
  spectrometric nonlinear modelling"
40,"Kohonen's Self-Organizing Map (SOM) is a useful tool for non-linear projection and clustering of non-vector data, but its high cost makes it difficult to use with large data sets.","A new algorithm can significantly reduce the theoretical cost of the dissimilarity SOM without changing its outcome, and implementation methods can further decrease running times.",Fast Algorithm and Implementation of Dissimilarity Self-Organizing Maps
41,Data analysis methods require data to be represented by a fixed number of real values and are not readily adaptable for non-standard complex data.,"By using a (dis)similarity measure, data analysis methods can be adapted to handle non-standard complex data, enabling the application of methods like Kohonen\'s Self Organizing Map to (dis)similarity data.","Une adaptation des cartes auto-organisatrices pour des donn\'ees
  d\'ecrites par un tableau de dissimilarit\'es"
43,"The optimal approach of testing all possible subsets of variables with the prediction model in spectral chemometrics is computationally intensive and intractable, with the number of groups of variables to test being huge and colinearities making the results unstable.","A method that selects groups of spectral variables using a forward-backward procedure applied to the coefficients of a B-Spline representation of the spectra can overcome these limitations. This method uses mutual information as the criterion, allowing for the discovery of nonlinear dependencies between variables, and provides interpretability of the results, while keeping a low computational load.",Fast Selection of Spectral Variables with B-Spline Compression
44,"The mutual information criterion combined with a forward feature selection strategy requires manual setting of parameters and determination of when to halt the procedure, which becomes less reliable as the dimensionality of the subset increases.","Resampling methods, K-fold cross-validation, and the permutation test can be used to automatically set the parameter and calculate a threshold to stop the forward procedure, providing information about the variance of the estimator and improving reliability.","Resampling methods for parameter-free and robust feature selection with
  mutual information"
45,The Learn++ algorithm is the most effective method for incremental learning.,The new Incremental Learning Using Genetic Algorithm (ILUGA) method can achieve better incremental learning results with fewer classifiers and without catastrophic forgetting.,Evolving Classifiers: Methods for Incremental Learning
46,The conventional belief is that the choice between One-Against-One (1A1) and One-Against-All (1AA) techniques in Support Vector Machines (SVMs) significantly impacts the accuracy of land cover mapping.,"The innovative counterargument is that the choice between 1A1 and 1AA techniques does not significantly affect the classification accuracy in land cover mapping, and the choice ultimately depends on personal preference and the uniqueness of the dataset.",Classification of Images Using Support Vector Machines
47,The Brier game of prediction is traditionally not considered mixable and its optimal learning rate and substitution function are not well-defined.,"The Brier game of prediction can be made mixable with an optimal learning rate and substitution function, and can be effectively applied to predict results of football and tennis matches with a tight performance guarantee.",Prediction with expert advice for the Brier game
48,Association rules in data mining are used to represent relationships between items in transactions.,"Association rules can be extended to represent a broader class of associations, referred to as entity-relationship rules, expressing associations between properties of related objects with a new definition of support and confidence.",Association Rules in the Relational Calculus
49,Data mining is typically used to focus on isolated phenomena or the relation between two phenomena.,"Data mining can be used in an innovative way for inspecting sequences of verbs from texts, providing a new method for text segmentation and structure discovery.","The structure of verbal sequences analyzed with unsupervised learning
  techniques"
50,"Regularization by the sum of singular values, or the trace norm, is a standard technique for estimating low rank rectangular matrices, but its rank consistency conditions are not fully understood.","The research extends the consistency results of the Lasso to provide necessary and sufficient conditions for rank consistency of trace norm minimization with the square loss, and introduces an adaptive version that maintains rank consistency even when the necessary condition for the non-adaptive version is not met.",Consistency of trace norm minimization
51,The learning problem of ranking is traditionally reduced to binary classification with a time complexity of Ω(n^2) and a regret factor of 2.,"The learning problem of ranking can be efficiently reduced to binary classification with an improved time complexity of O(n log n) and a regret factor equal to that of the binary classifier, making it practical for applications where the number of points to rank is in the thousands.",An efficient reduction of ranking to classification
52,"The conventional belief is that one must choose a single method for haplotype reconstruction, with the choice depending on the population sample in question.","Instead of choosing a single method, combining predictions returned by different methods in a principled way can provide more accurate and robust reconstructions, effectively circumventing the method selection problem.",Combining haplotypers
53,"Spectral clustering, despite its popularity and efficiency, is often viewed as mysterious and difficult to understand.","Spectral clustering can be intuitively understood by exploring different graph Laplacians, deriving algorithms from scratch, and discussing the pros and cons of different spectral clustering algorithms.",A Tutorial on Spectral Clustering
54,The conventional belief is that rules for the Semantic Web are manually created and built on top of ontologies.,The innovative approach is to automate the acquisition of these rules for the Semantic Web using a general framework for rule induction that adopts the methodological apparatus of Inductive Logic Programming.,"Building Rules on Top of Ontologies for the Semantic Web with Inductive
  Logic Programming"
55,"Singular Value Decomposition (SVD) is the standard method for data decomposition in various fields, but it is limited to two-dimensional arrays of data.","Higher-order tensor decompositions, specifically Higher-Order Orthogonal Iteration (HOOI) and Multislice Projection (MP), can effectively handle data with three or more modes, overcoming the limitations of SVD.",Empirical Evaluation of Four Tensor Decomposition Algorithms
56,The conventional belief is that sequential estimation of means of random variables requires knowledge of the bounded variable.,"The innovative approach is that sequential estimation of means can be achieved without any knowledge of the bounded variable, by continuing to sample until the sample sum reaches a certain bound, and then taking the average of samples as an estimate for the mean.","Inverse Sampling for Nonasymptotic Sequential Estimation of Bounded
  Variable Means"
57,The conventional belief is that the choice between One-Against-One (1A1) and One-Against-All (1AA) techniques in Support Vector Machines (SVMs) significantly impacts the accuracy of land cover mapping.,"The innovative counterargument is that the choice between 1A1 and 1AA techniques does not significantly affect the classification accuracy in land cover mapping, and the choice ultimately depends on personal preference and the uniqueness of the dataset.",Image Classification Using SVMs: One-against-One Vs One-against-All
58,"Spectral clustering methods for data clustering require solving the eigenproblem, which has a computational complexity of O(n^3).","A non-eigenproblem based clustering method can achieve comparable performance to spectral clustering algorithms but with a more efficient computational complexity of O(n^2), and can handle complex cluster shapes, multi-scale clusters, and noise without needing to set parameters other than the number of clusters.",Clustering with Transitive Distance and K-Means Duality
59,The conventional belief is that classifiers are evaluated using performance indexes such as accuracy.,"The innovative approach is to assess classifiers using normalized mutual information, which provides a set of nonlinear functions to each performance index.",Derivations of Normalized Mutual Information in Binary Classifications
60,Covariances from categorical variables are traditionally difficult to interpret and apply to variable selection problems.,"By using a regular simplex expression for categories and a method of principal component analysis (RS-PCA), covariances can be easily interpreted and applied to variable selection problems of categorical data.",Covariance and PCA for Categorical Variables
61,The conventional belief is that the Bayesian similarity measure is only optimal for nearest neighbor classification.,"The counterargument is that the Bayesian similarity measure can be used to construct a classifier that outperforms the nearest neighbor classifier, achieve Bayes-optimal classification rates, and solve a distinct class of classification problems optimally.",On the Relationship between the Posterior and Optimal Similarity
62,"The generation of pseudowords for experimental purposes in Psycholinguistics is often based on linguistic units such as syllables or morphemes, which results in a numerical explosion of combinations when the size of the nonwords is increased.","A reactive tabu search scheme can be used to generate nonwords of variable size, using a modified Metaheuristic algorithm based on a local search procedure enhanced by a feedback-based scheme, providing a practical and effective tool for nonword generation.","A Reactive Tabu Search Algorithm for Stimuli Generation in
  Psycholinguistics"
63,The generalization performances of singular statistical models with hierarchical structures or hidden variables are difficult to predict due to their nonidentifiability and singular Fisher information matrices.,"By studying four types of errors and establishing mathematical relations among them, it is possible to estimate Bayes and Gibbs generalization errors using Bayes and Gibbs training errors, thereby enabling the prediction of generalization performances in both regular and singular statistical models.",Equations of States in Singular Statistical Estimation
64,Regular languages cannot be linearly separable using a universal kernel.,"A universal kernel can render all regular languages linearly separable, although it may be intractable and only an efficient approximation is computable.",A Universal Kernel for Learning Regular Languages
65,Unsupervised learning techniques typically struggle with non-linear dimensionality reduction and pattern classification.,"A Multi-layer Mirroring Neural Network, combined with Forgy's clustering algorithm, can effectively perform non-linear dimensionality reduction and unsupervised pattern classification by mirroring input patterns and reducing them to a manageable size.","Automatic Pattern Classification by Unsupervised Learning Using
  Dimensionality Reduction of Data with Mirroring Neural Networks"
66,The reconstruction of the dependency structure from independent samples from Markov random fields is complex and lacks a guaranteed method for accurately reconstructing the generating model.,"A simple algorithm can be used to reconstruct the underlying graph defining a Markov random field with high probability, even in the presence of low-level noise, and can also recover models with hidden nodes in some cases.","Reconstruction of Markov Random Fields from Samples: Some Easy
  Observations and Algorithms"
67,"Cross-layer optimization solutions often rely on ad-hoc approaches, violating the layered network architecture by requiring layers to provide access to their internal protocol parameters to other layers.","A new theoretic foundation for cross-layer optimization allows each layer to make autonomous decisions, maximizing the utility of the wireless user by optimally determining what information needs to be exchanged among layers, without changing the current layered architecture.",A New Theoretic Foundation for Cross-Layer Optimization
68,"The Scheffe tournament estimate requires fewer computations than the minimum distance estimate, but has weaker guarantees.","New algorithms can provide the same guarantee as the minimum distance estimate, but with fewer computations, even as low as a linear number of computations with preprocessing.",Density estimation in linear time
69,Kernel methods for learning on sets of points have not adequately addressed the specific geometrical invariances and practical constraints associated with point clouds in computer vision and graphics.,"Extensions of graph kernels for point clouds can be used to design rich and numerically efficient kernels with minimal free parameters, enabling kernel methods to be applied to shapes, line drawings, or any three-dimensional point clouds.",Graph kernels between point clouds
70,Piecewise Linear Separation incremental algorithms in neural models yield poor performances when dealing with some classification problems due to the evolving schemes used to construct the resulting networks.,"A modification criterion, based on a function that provides information about the quality of the network growth process during the learning phase, can improve the performance of the networks generated by these incremental models.","Improving the Performance of PieceWise Linear Separation Incremental
  Algorithms for Practical Hardware Implementations"
71,Standard collaborative filtering (CF) using Pearson correlation is the most effective method for determining user-user correlations.,"A spreading activation approach for collaborative filtering (SA-CF) that uses an opinion spreading process and a free parameter to regulate object contributions can achieve higher accuracy and personality, while also reducing computational complexity.","Improved Collaborative Filtering Algorithm via Information
  Transformation"
72,The conventional Expectation-Maximisation (EM) algorithm relies on integration with respect to the complete data distribution and is not directly connected to the usual EM algorithm.,"An online version of the EM algorithm can be more directly connected to the usual EM algorithm, does not rely on integration with respect to the complete data distribution, and can achieve convergence at the optimal rate. This approach is also suitable for conditional models.",Online EM Algorithm for Latent Data Models
73,Economic aggregators are primarily tailored to fit economic theories and phenomena.,"Economic aggregators can be analyzed from an informational standpoint, revealing their optimal quality and exact fit in relevant economic contexts.",Staring at Economic Aggregators through Information Lenses
74,The cross-entropy method for global optimization is traditionally used in its basic form.,Online variants of the basic cross-entropy method can be developed and proven to converge.,Online variants of the cross-entropy method
75,The traditional approximate value iteration algorithm for factored Markov decision processes (fMDPs) increases max-norm and has a complexity that is exponential in the size of the fMDP description length.,"A novel algorithm, factored value iteration (FVI), modifies the least-squares projection operator to not increase max-norm, preserving convergence, and uniformly samples polynomially many samples from the state space, making the complexity polynomial in the size of the fMDP description length.",Factored Value Iteration Converges
76,"The optimal assignment kernel, used for embedding labeled graphs and tuples of basic data to a Hilbert space, is assumed to be always positive definite.","The optimal assignment kernel is not always positive definite, challenging its universal applicability in embedding labeled graphs and tuples of basic data to a Hilbert space.",The optimal assignment kernel is not positive definite
77,"The concept of information is traditionally tied to problems with an underlying stochastic model, and the relationship between the information conveyed by a binary string and its description complexity is not clearly defined.","Information can exist in problems without an underlying stochastic model, such as in algorithms or genomes. A new concept, 'information width', is introduced to extend Kolmogorov's definition and provide a common formula to evaluate information from any input source. This approach also explores the relationship between the information conveyed by a binary string and its description complexity, the cost of information, and the efficiency of information conveyance.",Information Width
78,The conventional belief is that the growth function of a class of binary functions can only be estimated using traditional methods.,The research proposes an innovative approach by applying the Sauer-Shelah result on the density of sets to obtain an upper estimate on the growth function of the class of binary functions.,On the Complexity of Binary Samples
79,The traditional PLS Path Modelling's algorithm estimates latent variables and model's coefficients without considering the strong group structures and variable group complementarity.,"New ""external"" and ""internal"" estimation schemes are proposed to draw latent variables towards strong group structures in a flexible way and to make good use of variable group complementarity, respectively, enhancing the effectiveness of PLS Path Modelling.",New Estimation Procedures for PLS Path Modelling
80,The conventional belief is that the number of features and the size of the sample in high-dimensional feature space are independent factors in accomplishing tasks like clustering.,"The innovative approach suggests that one can trade off the number of features required with the size of the sample to accomplish tasks like clustering, demonstrating a relationship between these two factors.",Learning Balanced Mixtures of Discrete Distributions with Small Sample
81,Principal component analysis for dimension reduction is typically performed using a linear transformation matrix.,Dimension reduction can be achieved non-linearly by specifying different transformation matrices at different locations of the latent space and smoothing the transformation with a Markov random field type prior.,Bayesian Nonlinear Principal Component Analysis Using Random Fields
82,Collaborative filtering (CF) methods traditionally use low-rank type matrix completion approaches and are limited in their ability to incorporate additional information such as user or object attributes.,"A new approach to CF using spectral regularization can learn linear operators from users to objects they rate, and can incorporate additional information about users and objects, thereby generalizing and enhancing the capabilities of existing CF methods.","A New Approach to Collaborative Filtering: Operator Estimation with
  Spectral Regularization"
83,Models for prediction with expert advice are traditionally defined and calculated using specific algorithms.,"Hidden Markov models (HMMs) can be used to define and efficiently calculate models for prediction with expert advice, including new models like the switch distribution and a generalisation of the fixed share algorithm.",Combining Expert Advice Efficiently
84,The conventional belief is that the uniformity of space-filling in computer codes is not conserved by reducing the dimension and that the good distribution of points can only be studied based on projections onto the axes or the coordinate planes.,"The innovative approach is to introduce a statistic that allows studying the good distribution of points according to all 1-dimensional projections. By angularly scanning the domain, a radar type representation is obtained, which can identify the uniformity defects of a design with respect to its projections onto straight lines.","A Radar-Shaped Statistic for Testing and Visualizing Uniformity
  Properties in Computer Experiments"
85,Counting the pth frequency moment of a data stream signal is a complex task that requires significant computational resources.,"Compressed Counting (CC) using skewed stable random projections can efficiently compute the pth frequency moment of a data stream signal, reducing sample complexity and serving as a basic building block for other tasks in statistics and computing.",Compressed Counting
86,"Sign language learning traditionally relies on human tutors and static resources, with limited feedback mechanisms.","A system can be developed to teach sign language through recorded videos, analyze user's attempts, and provide immediate, personalized feedback, including complex signs involving both hand gestures and head movements.",Sign Language Tutoring Tool
87,"In stochastic multi-armed bandit problems, the focus is often on minimizing cumulative regret, which requires balancing exploration and exploitation.","Instead of focusing on cumulative regret, the study suggests assessing forecasters based on simple regret, which only considers exploration and is more suited to situations where the cost of pulling an arm is expressed in terms of resources rather than rewards.",Pure Exploration for Multi-Armed Bandit Problems
88,"Knowledge management and artificial intelligence techniques are traditionally applied in isolation, with separate methodologies and tools.","Emerging technologies like Knowledge Engineering, Knowledge Based Engineering, Knowledge Webs, Ontologies and Semantic Webs can be integrated to capture, store, present and use knowledge more effectively, providing a comprehensive approach to knowledge management and AI.",Knowledge Technologies
89,"The conventional belief is that learning algorithms cannot maintain privacy while processing large data sets, especially when the data contains sensitive information about individuals.","The research proposes that almost anything learnable can be learned privately, even with polynomial sample complexity and output size, by using learning algorithms that satisfy differential privacy. This approach provides strong confidentiality guarantees, even when aggregate information is released about a database containing sensitive information.",What Can We Learn Privately?
90,The conventional belief is that privacy preserving decision tree induction via ID3 can only be efficiently performed on either horizontally or vertically distributed data.,"The research introduces an innovative approach to perform privacy preserving decision tree induction via ID3 on grid-partitioned data (both horizontally and vertically distributed), and proposes two evaluation methods, showing that merging horizontally first and then developing vertically is the more efficient method.","Privacy Preserving ID3 over Horizontally, Vertically and Grid
  Partitioned Data"
91,"The conventional belief is that understanding a text relies solely on reading and interpreting the flow of words and expressions, with the main actors' actions being lost once the text is read.","The innovative approach is to use a virtual architecture that identifies and manages collocations as associative completions of the actors' actions, stored in separate memory blocks. This allows for the reconstruction of recent events from the discovered temporal results, mimicking the way human beings store and associate information in mind-maps.","Figuring out Actors in Text Streams: Using Collocations to establish
  Incremental Mind-maps"
92,"Regularized support vector machines (SVMs) and robust optimization are separate, distinct concepts in machine learning.","Regularized SVMs and robust optimization are precisely equivalent, leading to more general SVM-like algorithms that build in protection to noise and control overfitting, and providing a robust optimization interpretation for the success of regularized SVMs.",Robustness and Regularization of Support Vector Machines
93,Evolutionary programming algorithms struggle with fitness landscapes characterized by long narrow valleys and high dimensionality problems due to storage limitations and lack of rotational invariance.,"The introduction of two meta-evolutionary optimization strategies, directional mutation and recorded step, can accelerate the convergence of these algorithms, handle high dimensionality problems more economically, and offer rotational invariance, enhancing their ability to deal with complex fitness landscapes.",Recorded Step Directional Mutation for Faster Convergence
94,Support vector machine classification traditionally minimizes or stabilizes a nonconvex loss function directly.,"Instead of direct minimization or stabilization, the method simultaneously computes support vectors and a proxy kernel matrix, treating indefinite kernel matrices as noisy observations of a true Mercer kernel, keeping the problem convex.",Support Vector Machine Classification with Indefinite Kernels
95,Dimensionality reduction for manifold learning is typically performed using either supervised or unsupervised learning frameworks.,"A semi-supervised dimensionality reduction framework can be used for manifold learning, which can handle both labeled and unlabeled examples and manage complex problems where data form separate clusters of manifolds.","A Unified Semi-Supervised Dimensionality Reduction Framework for
  Manifold Learning"
96,"The Lasso method for linear regression with l1-norm regularization is typically used for variable selection, but its model consistency and probability of correct selection are not fully understood or utilized.","By conducting a detailed asymptotic analysis of the Lasso method, it is possible to compute the probability of correct model selection and develop a novel variable selection algorithm, the Bolasso, which improves model selection consistency and outperforms other linear regression methods.",Bolasso: model consistent Lasso estimation through the bootstrap
97,Mahalanobis distance learners are traditionally non-kernelized and kernel selection is often done using brute force methods.,"Kernelizing existing Mahalanobis distance learners can improve their classification performances, and efficient approaches can be adopted to construct an appropriate kernel for a given dataset.",On Kernelization of Supervised Mahalanobis Distance Learners
