Problem,Solution
How can we understand the formation and evolution of the Galaxy by studying the local halo and its substructures?,"By using data from Gaia DR3, APOGEE DR17, and GALAH DR3, the researchers traced multiple halo substructures within the solar neighbourhood using Red giants. They studied the chemodyamical properties of these substructures and streams, finding that a significant fraction of halo stars have high eccentric orbits. They also examined a specific substructure, Gaia-Sausage-Enceladus, and found its peak metallicity. Using the Gaussian approach, they identified different halo substructures based on action angle, energy, eccentricity, and metallicity. Finally, they examined the distributions of the halo substructure on the Mg/Fe – Fe/H panel with Al/Fe."
"How does the early evolution of Milky Way-sized galaxies occur, particularly in terms of metallicity, kinematics, and chemical abundances?","The early evolution of Milky Way-sized galaxies involves a period of chaotic pre-disc evolution, followed by rapid disc formation. This process is reflected in the trends observed in the Milky Way, including a sharp increase in the median tangential velocity of stars with metallicity (the spin-up), a change in chemical abundances, and the formation of a stable hot gaseous halo around the galaxy progenitor."
How can we accurately estimate the relative ages of stars and understand the age-metallicity relationship across different regions of the Galactic disc?,"By using the Bayesian Machine Learning framework BINGO, we can estimate the relative ages of stars. Combining this with metallicity information allows us to categorize stars into different radial components of the Galactic disc. Studying the age-metallicity relationship across these regions, we can identify significant events in the history of the Milky Way, such as a transition from the thick to thin disc and a sharp dip in metallicity likely caused by a gas dilution event."
Understanding the properties of multiple stellar populations in globular clusters and the need for new methods to investigate this phenomenon.,"Using the ""Chromosome Maps"" diagram to study the properties of different star populations and exploring the mid-IR region of the spectrum with the JWST for further investigation."
"How can we understand the structure, properties, and dynamics of individual galaxies from the Epoch of Reionization, and what do these tell us about the processes of galaxy formation and evolution?","By conducting a high-resolution kinematic study of a star-forming galaxy, UVISTA-Z-019, and examining its weak velocity gradient and complex structures, we can gain insights into the role of mergers, gas accretion, and strong outflows in galaxy growth and star-formation self-regulation."
"How did the thick and thin disks of galaxies form, and what factors contributed to their distinct characteristics?","By studying the disk structure of edge-on galaxies beyond the local Universe, particularly through the analysis of JWST’s first image of Stephan's Quintet, which reveals 39 distant edge-on galaxy candidates. The diverse vertical structure of these galaxies may provide insights into the formation of thin/thick disks."
"What is the frequency of carbon-enhanced metal-poor (CEMP) stars among very metal-poor stars, and how do their properties vary in different Galactic environments?","The paper proposes studying CEMP stars as a population, using spectroscopic surveys to uncover large numbers of these stars. It also suggests comparing various low-resolution spectroscopic samples of very metal-poor stars in the giant regime to understand the properties of CEMP stars throughout the Milky Way."
"How can we predict and understand the formation history of the Local Group, including the MW and M31 galaxies, their stellar and gaseous disks, and their satellite galaxies, in a cosmological context?","Use the FIRE-2 cosmological zoom-in simulations to predict the formation history of the Local Group, discuss the formation and settling of the stellar and gaseous disks, and analyze the formation histories of the satellite galaxies. Use the stellar populations of surviving low-mass galaxies as fossil records to inform the use of galactic archeology in probing the epoch of reionization."
"How can we understand the relationship between the observed properties of galaxies and the theoretical properties of their parent dark matter haloes, particularly the stellar-to-halo mass relation (SHMR), at higher redshifts?","The paper proposes a method of obtaining robust rotation curves from non-parametric state-of-the-art kinematic modelling of resolved IFU observations and robust mass modelling within a Bayesian framework. This method is used to present new results on the SHMR of disc galaxies at z=1, and to compare the observed SHMR and its theoretical counterpart from abundance-matching."
"How can we explore the kinematic properties of cluster galaxies and the diffuse intracluster light, predict the projected velocity dispersion profiles of massive clusters, and detect and characterize intracluster light substructure?","By applying a semi-analytic particle tagging technique to high-resolution N-body simulations of galaxy clusters, calibrating the model through comparisons to the observed Fundamental Plane of surviving cluster satellites, and developing methods to detect and characterize intracluster light substructure using kinematic tracers such as planetary nebulae and globular clusters."
"How do the filamentary structures in the neutral atomic hydrogen (HI) and carbon monoxide (CO) emissions orient with respect to the Galactic plane, and what factors influence their orientations?","The study used observations from the HI4PI, THOR, and MWISP surveys to analyze the filamentary structures in the HI and CO emissions. It was found that the HI filamentary structures in the Milky Way’s disk regions beyond ten kpc and up to roughly 18 kpc from the Galactic center are predominantly parallel to the Galactic plane, while those at lower Galactocentric radii are mostly perpendicular or do not have preferred orientation. The orientations of the CO filamentary structures differed from those of the HI. These orientations are believed to be influenced by factors such as supernova feedback, Galactic rotation and shear, and local physical conditions like stellar feedback and magnetic fields."
"What is the origin of the empirical scaling relations in dark matter haloes, and how does it relate to the cusp-core problem?","Assuming that dark matter haloes are formed primarily with central cusps and then some dynamical processes remove dark matter from the central region, the cored profile is reverted to the cusp profile. The reverted scaling relations agree with the concentration-mass relation, suggesting that the concentration-mass relation is the origin of the scaling relations."
"How can we gain a deeper understanding of the chemical enrichment, assembly, and star formation histories of disc galaxies, particularly early-type galaxies at high redshifts?","By measuring spatially-resolved stellar population parameters in the LEGA-C ETGs using full-spectrum stellar population synthesis models over different apertures, and extending this analysis to higher redshifts and including star-forming and quiescent galaxies in the future."
"How can we better understand the structure and history of our Galaxy, particularly given its far-from-equilibrium state and the presence of 'phase spirals'?","By analyzing the data from ESA’s Gaia mission, particularly the 'phase spirals', and leveraging high resolution galaxy models and dynamical theory, we can gain insights into the Galaxy's structure and history. The discovery of two armed ‘breathing spirals’ in the inner disc also contributes to this understanding."
What is the mechanism that drives the warped disk in the Galactic warp and how does it evolve over time?,"The researchers analyzed the phase space of RGB stars and used MCMC fitting of two warped models to infer the warp parameters. They found that the warp is a transient feature due to the gravitational interaction with the satellite galaxy, and after the interaction, the stellar experienced a damped vertical oscillation."
"The process of growing galactic discs, particularly those with counter-rotating stellar discs, is not fully understood. There is a need to understand the amount, timing, and method of material falling onto the original galaxy.","Using data from the SDSS MaNGA DR17 survey, 56 counter-rotating galaxies were identified. A follow-up observational campaign was initiated at the 6-m BTA telescope to determine the stellar population properties of both stellar discs. Preliminary results suggest a dichotomy in the sample of counter-rotating galaxies, with different luminosity contributions and evolutionary paths for massive and less massive galaxies."
"Understanding the mechanisms of dust origin, evolution, and its effects in galaxies, and how it could be transported out of galaxies by winds is challenging due to the high likelihood of dust destruction in hot gas.","Cholla, a hydrodynamics code, is used for high resolution simulations of single galaxies and can shed light on these mechanisms. The development and implementation of a self-consistent dust model in Cholla will provide new insight into the viability of dust transport by winds and the conditions under which dust can survive in outflows."
Current methods for measuring the star-formation rate in galaxies are inaccurate and biased towards highly star-forming/dusty galaxies.,"A new star-formation rate calibration is proposed using a combination of the WISE Band-1 and Band-3, and the JWST NIR-200W and MIRI-2100W. This method, which includes a stellar mass tracer and the extinction as parameters, provides more reliable estimations, especially for low-star-formation rate and low dust-content galaxies. The calibrations are provided through Monte Carlo Markov chain and machine learning fitting techniques."
"We do not fully understand the formation and destruction of globular clusters, and their contribution to the stellar mass of galaxies.","The study uses data from the 17th data release of the APOGEE 2 survey to evaluate the incidence of second generation globular cluster stars in the Milky Way and its Local Group dwarf companions. This data is used to improve our understanding of globular cluster formation, destruction, and their contribution to the stellar mass."
What is the theoretical understanding of disk and ring formation and the survival of these structures at high redshifts?,"A theoretical discussion of disk formation and survival above a threshold mass at high redshift, ring formation, and the formation and survival of giant clumps in high-z disks."
"The star formation histories of dwarf galaxies are not well understood due to limited data on the chemical compositions of their stars, and the relationship between the metallicity of the ""alpha-knee"" and galaxy mass is unclear.","Using the EAGLE simulations, a strong relationship between total stellar mass and knee metallicity was found. The formation of an ""alpha-knee"" is not just due to the onset of Type Ia supernovae, but also a strong decline in the star formation rate. The simulations also predict a large variation in the relationship between total stellar mass and knee metallicity, which is related to the duration of the peak of the star formation history."
"Is the alpha-bimodality, a key property of Galactic disk populations, a common feature of disk galaxies or is it linked with an intense star formation episode making the Milky Way an unusual galaxy?","The researchers will use a combination of NIRCAM photometry and NIRSPEC spectroscopy to study the chemical composition of the old M31 disk, particularly the abundances of Fe, C, N, and O. This will help to understand the history of star formation and mass assembly of the M31 disk and test the hypothesis about the alpha-bimodality and the uniqueness of the Milky Way."
"How can we accurately measure the faint end of the galaxy Ultraviolet Luminosity Function (UVLF) at high redshifts (z > 6) during the Epoch of Reionisation, given that deep-field HST and JWST lensing surveys may not be able to directly observe the faintest galaxies?","An alternative ""near-far"" approach is proposed, which uses the star formation histories of Local Group dwarf galaxies to measure the faint end of the high-redshift UVLF. The study uses the FIRE-2 cosmological baryonic zoom-in simulations to test uncertainties in this method, models the survival and merger rates of low-mass galaxies, explores how survival depends on dwarf galaxy mass and distance from the Milky Way, and quantifies how resolved stellar photometry by JWST could improve our measurement of the high-redshift UVLF."
"How does the gas supply process from a large scale to a small scale in a barred galaxy occur, and what is its possible role in the growth of a supermassive black hole in a galactic center?","By using high resolution simulations of gas in a barred galaxy potential with the ""ASURA"" code, including a wide temperature range of radiative cooling, star formation in dense and cold gas, and gas heating by supernovae, it was found that a gas ring forms within the central 1 kpc region. Gas clouds form in the ring due to high gas density. Some clouds deviate from the ring due to interactions with other clouds, causing some clouds to fall into the galactic center. This process contributes to the episodic gas supply to the galactic center."
"How can the orientation of the minor axis of the Milky Way's Dark Matter halo be determined, considering that it may be significantly tilted with respect to its central stellar disk?","A new method is proposed that uses the slopes of the line in angle and frequency space from a simulated tidal stream in a realistic environment. The correct rotation frame results in a minimal slope difference, allowing for a constraint on the minor axis location. This method was tested and applied to the Sagittarius stream's leading arm."
How can we predict and interpret the dynamical state of early galaxies (Epoch of Reionization) using observational data from ALMA and JWST?,"The SERRA suite of cosmological galaxy simulations is used to analyze synthetic hyperspectral datacubes for the far-infrared [CII] and nebular Hα emission lines. This provides predictions on the dynamical state of EoR galaxies, helping to interpret observational data."
"How can we understand the physical processes during galaxy formation and evolution, and predict the distribution of elemental abundances?","By using Galactic Archaeology and hydrodynamical simulations with detailed chemical enrichment from cosmological initial conditions, we can analyze various flows and stellar migration to understand how our Milky Way Galaxy and other galaxies formed and evolved. The predictions can be tested with future observations."
"The full understanding of the role of stellar feedback-driven outflows in galaxy formation, particularly the dependence of outflows on galaxy properties and redshift, is not yet achieved.","Use simulations from the Feedback in Realistic Environments (FIRE) project to predict outflow dependencies, interpret these results with analytic toy models, discuss implications for disk galaxy formation, and highlight how the James Webb Space Telescope (JWST) can provide further insights."
"How do satellite galaxies, particularly the Sagittarius dwarf, impact the dynamical structure of the Milky Way?",The impact of satellite galaxies on the Milky Way's dynamical structure is studied using high-resolution N-body simulations and models of the Milky Way that consider both external and internal perturbations. The study finds that even low-mass satellites can significantly affect the dynamical evolution of host galaxies.
"What are the characteristics of the HD 158259 star system, including its planets' orbital resonance, semi-major axis, mass, luminosity, habitable zone, and the possibility of an undetected sixth planet?","The HD 158259 system was investigated using the radial velocity method, calculating various parameters such as the planets' period ratios, semi-major axis, mass, luminosity, and habitable zone. The possibility of a sixth, undetected planet was also explored, with its potential orbital period, semi-major axis, and radial velocity amplitude calculated. The habitability zone of the system was compared to established estimates, and the planetary equilibrium temperature was calculated."
How does the potential contamination from low/intermediate redshift galaxies impact the selection of high-redshift Lyman-break galaxies (LBGs) in large-area surveys conducted by the Hubble Space Telescope?,"By studying the spatial correlation between intermediate and high redshift galaxies and linking it to the leakage fraction, and comparing the observed correlations to outcomes from Monte Carlo simulations of leakage, we can assess the impact of this contamination. Our findings suggest that while ultradeep observations in the Hubble eXtreme Deep Field appear to have negligible contamination, larger area surveys might have underestimated the purity of photometric samples."
"What are the progenitor systems and explosion mechanisms responsible for Type Ia supernovae, which are crucial for understanding galactic chemical evolution and the synthesis of iron-peak elements?","The study proposes the use of theoretical nucleosynthetic yields to identify a set of elemental abundance ratios in ""iron-rich metal-poor"" (IRMP) stars. These stars, which formed in environments dominated by Type Ia nucleosynthesis, can help constrain the progenitor systems and explosion mechanisms of Type Ia supernovae. The study also suggests that the occurrence rates of IRMP stars can provide additional constraints."
"What is the balance between internal and external processes in the formation of thick and thin galactic disks, and how does this transition occur over time?","Using the AURIGA zoom-in cosmological simulations to study 26 Milky Way-mass galaxies, the study tracks stars over time and maps the evolution of stellar and gas properties. The results are compared to observations of edge-on disk galaxies and recent findings in our Galaxy to understand the contributions of internal evolution and external processes, and to trace the transition from thick-disk to thin-disk formation."
"How can we observe and understand the kinematics of early galaxies, particularly in the context of star-forming galaxies at high redshifts?","Using the JWST’s NIRSpec Integral Field Spectrograph (IFS), we can study spatially resolved emission lines to measure and model the kinematics of early galaxies. The data obtained will provide important constraints on theoretical models of galaxy formation and aid in the interpretation of complementary studies."
"The existing models predict that thin disc stars should not have an old population, but recent observations contradict this.",The contradiction can be explained if the early Milky Way disc had gas clumps with high star formation rate.
"How can we better understand the complex assembly history of the Milky Way, particularly the Gaia-Sausage Enceladus (GSE) merger event, and predict other major merger events?","Use the Auriga project, a set of simulations of Milky Way-mass galaxies, to investigate the variety of GSE analogues, focusing on their kinematics and chemical properties before and after infall. Predict signals of high-redshift accretions that could identify major merger events. Explore the diversity and luminosity functions of the satellite populations associated with these merging galaxies. Consider whether surviving satellite galaxies can be distinguished from the overall satellite population."
How can we accurately measure the dust size of less-dusty UV-selected galaxies at high redshifts (z=4-6) and understand their star formation process?,"By using high-resolution and deep ALMA observations as part of the CRISTAL program, the dust continuum size of these galaxies can be measured. The results suggest that these galaxies are forming their disks through widespread star formation, unlike massive DSFGs which show compact star formation in their central part."
How far can we see at different wavelengths in the presence of extinction in Galactic (and some extragalactic) studies?,"Use of different distance indicators to trace the extinction horizon along the Galactic plane, and comparison of these results with expected observations from major ground-based facilities and space missions."
"How does the anisotropic distribution of Dark Matter (DM) in merging galaxies affect the movement and survival of their sub-components, including former satellites and newly born Tidal Dwarf Galaxies (TDGs)?","The study proposes analyzing the radial DM density distribution of two merging galaxies after the merger event and comparing the snapshots with the Navarro-Frenk-White (NFW) profile of a relaxed halo. The findings suggest that the anisotropic DM distribution affects the gravitational binding of satellites and the tidal force of the merger remnant, which has implications for numerical simulations of satellites and TDGs."
"How can we study the formation and evolution of Milky Way- and Andromeda-like galaxies, including their diverse evolution histories, merger activities, and disk flaring characteristics?","Use TNG50, the highest resolution realization of the IllustrisTNG project, which can resolve scales from tens of comoving megaparsecs to tens of parsecs of the internal structure of individual galaxies, and can reproduce different types and amounts of disk flaring, matching most of the existing observational and theoretical results."
How can we efficiently identify and study the most primitive and metal-poor stars in our Milky Way to understand the earliest epoch of star formation and the hierarchical assembly of our Galaxy?,"The paper proposes using the Ca H&K doublet lines around 395 nm and the low-resolution BP-RP spectra provided by Gaia DR3 to mimic a Pristine narrow-band filter and search for these rare and old stars. This method allows for the creation of a new catalogue of extremely metal-poor stars in the Milky Way halo and the study of the anomalies in the metallicity structure across different distances. The method also allows for the expansion of the number of spectroscopically studied metal-poor stars, providing a better view of some of the most intricate parts of our Galaxy."
"Understanding the evolution of small scale dark matter haloes and their role in the formation of larger structures, as well as the origin of the scaling relation in dark matter haloes, is a challenge.","Using ultra-high resolution cosmological N-body simulation, the study investigates the evolution of satellite dark matter haloes, proposes a new fitting function for the c-M relation for dwarf galaxies, and compares the theoretical predictions with observations. The results show consistency with empirical scaling laws and the Λ-CDM model."
"How can we effectively study the dynamics of high redshift galaxies, trace the distribution of different matter components, and understand the turbulence within the interstellar medium?","Measurements of the gas rotation and velocity dispersions can be used. However, current methods using warm gas tracers like Halpha, [OII], [OIII] may be affected by non-circular motions driven by inflows, outflows, and mergers."
How can we determine the properties of galaxies in the range of 7<z<9 based on broadband imaging and how can we constrain main-sequence evolution at z<7 based on galaxy ages and basic assumptions?,The speaker has used the deepest dataset acquired at these wavelengths to date to identify 13 galaxies with SNR>8 in F444W from 8 arcmin2 of data at m< 28. This is from a combination of dropout and photometric redshift selection. An analytical framework is introduced to constrain main-sequence evolution at z<7. The results from this framework are consistent with expectations from cosmological simulations.
How can we understand the diversity of stellar halo properties in low-mass disk galaxies and use this understanding to probe mass assembly history?,"By using simulations that combine the Galform semi-analytic model, the COCO cosmological N-body simulation, and the STINGS particle tagging technique, we can provide a broader context for understanding stellar halo properties in low-mass disk galaxies. These simulations can be compared to current low surface brightness observations and used to make predictions about surface brightness profiles and stellar populations. The results can potentially be used as probes of mass assembly history, especially with the upcoming datasets from Euclid, LSST, and other surveys."
What is the role of the large-scale environment around a star-forming galaxy in triggering new episodes of star formation and how does it interact with the circumgalactic gas?,"Using the IllustrisTNG-100 simulation, it is shown that the large-scale environment around a star-forming galaxy triggers new episodes of star formation. This is synchronized with a pulsating motion of the circumgalactic gas, which receives angular momentum modulations from the large-scale environment, resulting in spiralling gas that fuels the star-forming reservoir. The circumgalactic gas is also affected by feedback activities from the galaxy centre, leading to a synchronized cadence of ""breathing in and out"" motions."
How can we understand the different evolutionary pathways of relic galaxies and compact massive early-type galaxies (ETGs) across cosmic time?,"By using high-resolution cosmological simulation (Illustris TNG-50) and two numerical approaches (kinematic effects on subhalos and the global environmental framework), we can investigate the assembly history of these galaxies and compare their evolutionary pathways. Preliminary results show dynamical signatures in the orbital angular momentum of stellar particles, which can be used as an orbital parameter to look for similar structures in observations."
"How can the evolution of galactic discs, particularly the spatially-resolved gas-phase metal distribution in galaxies, be accurately modeled considering the major physical processes involved?","A new semi-analytic model has been developed that considers the effects of gas accretion from the cosmic web, feedback due to star formation and supernovae, gas transport due to gravitational instabilities and torques, and galactic outflows on the mass, energy, and metal budget of galactic discs. The model shows that the relative importance of these processes varies with redshift and galaxy mass."
How can we improve the detection of gravitational lenses in astronomical images and minimize false positives?,"By applying machine learning algorithms, specifically Convolutional Neural Networks, to improve upon the traditional color cuts method for massive galaxy selection."
"Why does galaxy evolution depend on the environment, and what physical processes regulate star formation and morphology in dense environments?",The study uses observations from the GLASS-JWST-ERS program and NIRCAM and NIRISS data to examine how galaxies are affected by the cluster environment and how their morphology and star-forming properties depend on their position within the cluster and their local environment. The study also uses NIRISS data to reveal star formation typically hidden at optical wavelengths and quantify the presence of dust.
What causes the lack of interstellar gas in dwarf spheroidal galaxies and how does it affect their evolution?,"The study proposes that galactic winds, caused by numerous supernova explosions, blow away the interstellar gas. This is supported by calculations of the timing of the onset of the galactic wind using observed data and comparisons with the star formation history. However, the study also notes that some dwarf galaxies may not experience galactic winds, depending on certain conditions. The study further compares the results with several galactic wind models and discusses the relationship with the tidal effects due to the Milky Way gravitational potential."
"How can the unique chemical and kinematic properties of the stellar system M 22 and the in-situ component of our Galaxy, Aurora, provide insights into the formation and chemical evolution of the Milky Way?","The enhancement of s-process elements in M 22 and Aurora, likely due to pollution from low-mass AGB stars, suggests a link between these systems and the original stars of the Milky Way. This implies that M 22 may have formed concurrently with Aurora, providing valuable insights into the chemical evolution of our Galaxy before the establishment of the disk."
"How can we gain a comprehensive understanding of the formation and evolution of galaxies, particularly during the epoch of reionization?","By implementing the JWST COSMOS-Web survey, which will map large areas of the universe using NIRCam and MIRI, we expect to detect thousands of galaxies at redshift greater than 6 and more than half a million considering all redshifts. This will provide an unprecedented view of the formation and evolution of galaxies and allow us to characterize the first galaxies and map their spatial distribution in the early Universe."
How can we effectively decompose different stellar populations in our Galaxy to understand their formation and evolution?,"Use supervised machine learning methods like Random Forest and Support Vector Machine on data from the Gaia Universe Model Snapshot (GUMS) to separate star components. The methods are applied to both dynamical and chemical properties data, achieving good accuracy and precision in detecting different stellar populations."
What causes the kinematic asymmetry in the dwarf irregular galaxy W LM in the Local Group?,"An m = 1 perturbation in the halo potential could be causing this kinematical asymmetry. The lopsided halo potential model can explain the asymmetry in the kinematic data. WLM could be in the transition region, where the disk and merger coexist, suggesting a merger could be one of the possible origins of the dark matter halo lopsidedness."
"How can we better understand and quantify the gravitational interactions between the Large Magellanic Cloud (LMC) and the Milky Way (MW), and their effects on the MW's stellar and dark matter halo?",Create a library of high-resolution simulations of a single accretion event between the LMC and the MW. Each model in the library represents a point in the MW-LMC parameter space. This library can be used to analyze current observational data of halo stars using modern machine learning methods and guide future spectroscopic surveys.
"The specific processes that lead to the current disc configuration in MW-like galaxies are unclear, and recent discoveries of extremely metal-poor MW stars rotating in a disc-like configuration contradict current theories.",The speaker will present a recent analysis confirming the existence of the metal-poor tail of the thin disc and discuss the implications of this discovery in relation to cosmological simulations predictions.
Is the relationship between galaxy size and halo virial radius linear as suggested by previous studies using abundance matching ansatz?,"Re-examine the relationship between galaxy size and halo virial radius using weak gravitational lensing, a method that directly probes dark matter distribution. This approach reveals that the relationship is not linear and depends on the stellar mass of galaxies, with the ratio of galaxy size to halo radius decreasing as one moves from low mass to high mass galaxies."
"How can we better understand the process of heavy element (metal) enrichment in the interstellar medium (ISM) of local galaxies, particularly the role of metal injection-diffusion processes and their evolution over time?","By using resolved spectroscopy and testing a diffusion model on a large sample of spatially-resolved nearby galaxies, we can explore the correlation function of galaxy metal fields. This approach, combined with parametric fitting of the correlation functions and a new exploration of how these correlation lengths evolve over time in the Auriga simulation, can provide insights into the role of outflows in redistributing metals and the impact of these processes on present day galaxies."
How can we better understand the role of thermal and non-thermal processes in the evolution of galaxies over cosmic time?,"By combining the emission observed in the optical and radio domains in galaxies, and using the JWST to map the evolution of thermal processes and the upcoming deep SKA surveys to map non-thermal processes. Our recent simulations also suggest that the SKA1-MID surveys will be able to trace the evolution history of spiral galaxies back to a redshift of z=3, indicating the significant role of non-thermal pressure in the evolution of structures at earlier cosmic times."
Why do galaxy clusters in the present universe have a higher fraction of elliptical galaxies compared to low-density environments?,"By observing an active phase of star formation in high-redshift clusters, specifically in cluster galaxies in XMMXCS J2215.9-1738 at z = 1.46. The study found that star formation activities are concentrated inside the extended gas reservoir, possibly leading to the formation of a bulge structure. The rotation velocity of the cluster galaxies indicates that the CO-to-H2 conversion factor is smaller than the Galactic value."
How can we understand the formation of the first massive galaxies in the early Universe and develop theoretical models for comparison with observational data?,"Perform cosmological radiative-hydrodynamics simulations using the FOREVER22 project. The simulations show that galaxies in overdense regions have high star formation rates and large stellar masses, and their morphology changes over time due to major mergers and stellar feedback. These findings align with recent observations by JWST."
"The observed kinematic properties of satellite galaxies in the Local Group (LG) are unusual compared to cosmological simulations, a disagreement known as the planes of satellites problem. This disagreement persists even in different dark matter models and is not sensitive to the inclusion of baryonic processes in the simulations.","The observed co-rotation patterns are associated with the out-of-equilibrium state of the galaxy. The properties of the mergers, mass ratios, pericenter passages, and eccentricities, would be needed to reproduce the observational co-rotations pattern observed in the Milky Way and M31. The dynamic state of the LG should be taken into account when comparing it with LG analogs in cosmological simulations."
What is the recent formation history of the Andromeda galaxy (M31) and what are the properties of the cannibalized dwarf galaxy in M31?,"The recent formation history of M31 and the properties of the cannibalized dwarf galaxy in M31 can be uncovered through the kinematics and chemical abundance measurements of Planetary Nebulae (PNe) in M31, in conjunction with the star-formation history derived from photometry of resolved stellar populations and the kinematics of red giant branch (RGB) stars. The infalling satellite disrupted the M31 disc, forming an older dynamically hotter thicker disc and younger dynamically colder thin disc. The radial chemical abundance gradient and chemical enrichment history of the two discs imply that the M31 thicker disc formed in an extended star-formation episode, while the M31 thin disc formed in a burst from metal-poor gas brought in by the infalling satellite that mixed with the relatively enriched pre-merger M31 gas at certain radii."
